Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes,Lat,Long
Transfer Station,Bibb County Transfer Station,Government,2417 Old Birmingham Road,Centreville,AL,35042,Bibb,(256) 236-2411,,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00-11:30AM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,0,0
C&D Landfill,B & B Tire Landfill,Private,1316 County Highway 9,Hayden,AL,35079,Blount,(334) 897-6773,https://www.facebook.com/pages/B-B-Tire-Landfill/185473474819624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.82665084,-86.59204996
Transfer Station,Blount County/Nectar/Hayden Transfer Station,Government,2390 Armstrong Loop,Hayden,AL,35079,Blount,(256) 574-2714,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Wca/Blount County Landfill,Private,1130 County Line Rd,Trafford,AL,35172,Blount,(334) 265-6596,http://www.advanceddisposal.com/al,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,31.70548389,-86.73048435
C&D Landfill,City Of Greenville Landfill,Government,Landfill Drive Off Highway 31 South,Greenville,AL,36037,Butler,(334) 628-4844,http://www.greenville-alabama.com/Default.asp?ID=26&pg=Public+Works,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.89041958,-85.69186396
C&D Landfill,"Coastal Forest Products, Llc - Chapman Landfill",Private,Landfill: Old Mill Hill Street Landfill,Chapman,AL,36033,Butler,(256) 341-4993,http://coastalforestal.com/,No,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,7:00-11:30AM,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.67680614,-85.9189183
Transfer Station,Greenville/Butler County Transfer Station,Government,343 Landfill Drive,Greenville,AL,36037,Butler,(205) 367-8912,,No,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Calhoun County Construction/Demolition Landfill,Government,3625 Morrisville Rd,Anniston,AL,36201,Calhoun,(256) 237-3922,http://calhouncounty.org/landfill/cdlandfill.html,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,31.49406376,-87.86507904
Transfer Station,Calhoun County Transfer Station,Government,3625 Morrisville Road,Anniston,AL,36201,Calhoun,(256) 586-2666,,No,7:30AM-3:45PM,7:30AM-3:45PM,7:30AM-3:45PM,7:30AM-3:45PM,7:30AM-3:45PM,7:30-11:15AM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,0,0
C&D Landfill,Jacksonville/Piedmont Inert Landfill,Government,164 Piedmont Jacksonville Road,Piedmont,AL,36272,Calhoun,(256) 891-2944,https://www.republicservices.com/customer-support/facilities?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=T31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8532129,-85.28371077
Municipal Landfill,Three Corner'S Regional Landfill,Private,2205 Cherokee County Rd 6,Piedmont,AL,36272,Calhoun,(800) 774-7425,https://www.republicservices.com/customer-support/facilities?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=U33T,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,31.14828339,-88.17015061
C&D Landfill,Chambers County Landfill,Government,7245 Veterans Memorial Parkway,Lanett,AL,36863,Chambers,(334) 576-2059,http://www.chamberscountyal.gov/departments/code-enforcement/solid-waste/,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,33.21681379,-85.76849239
Municipal Landfill,Choctaw County Regional Landfill,Government,239 Firetower Road,Toxey,AL,36921,Choctaw,(205) 893-7223,http://www.paceindustriesinc.com/,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00-11:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23977203,-85.3561772
Transfer Station,Clarke County Transfer Station,Government,County Road 18,Grove Hill,AL,36451,Clarke,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Jackson Landfill (Gainestown),Private,1312 Gainestown Road,Jackson,AL,36545,Clarke,(251) 246-2333,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.07867527,-86.06738191
Transfer Station,AGL Transfer Station,Private,1177 Landfill Road,Ashland,AL,36251,Clay,,,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Ashland-Goodwater-Lineville Landfill,Private,1 Mi Sw Of 77 49 Int Ashland,Ashland,AL,36251,Clay,(256) 845-0758,http://aglsolidwaste.com/,No,6:00AM-2:45PM,6:00AM-2:45PM,6:00AM-2:45PM,6:00AM-2:45PM,6:00AM-2:45PM,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.34430545,-86.45115704
Municipal Landfill,Coffee County Sanitary Landfill,Government,7733 Highway 125,Elba,AL,36323,Coffee,(334) 897-6773,http://www.coffeecounty.us/Landfill.html#,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.5909739,-86.64325295
Transfer Station,Shoals Solid Waste Authority Transfer Station,Government,2015 Missouri Street,Tuscumbia,AL,35674,Colbert,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Madix C&D Landfill #2,Private,Aaron Street,Goodwater,AL,35072,Coosa,(334) 298-0634,http://www.adem.state.al.us/programs/land/landforms/CDILFMasterList08-11.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26017986,-86.27262432
C&D Landfill,Andalusia C&D Landfill,Government,301 Progress Drive,Andalusia,AL,36420,Covington,(251) 456-5321,http://www.cityofandalusia.com/departments/recyclinglandfill.html,No,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-12:00PM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.00628769,-86.34818053
Transfer Station,Andalusia Transfer Station,Government,23553 Highway 55 South,Andalusia,AL,36420,Covington,(256) 571-7560,,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Ashberry C&D Landfill & Tire Recycling Facility,Private,24961 Wages Road,Opp,AL,36421,Covington,(334) 493-1250,https://www.facebook.com/AshberryLandfillTireRecycling,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.40298929,-85.58690929
C&D Landfill,City Of Opp C&D Landfill,Government,Walding Road,Opp,AL,36467,Covington,(334) 493-7840,http://www.cityofopp.com/Content/Default/3/95/89/departments/sanitation-department/construction-and-demolition-landfill.html,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.23993038,-86.53994156
C&D Landfill,Little’S Tire Reclamation And Disposal Center,Private,17724 Ltrc Lane,Andalusia,AL,36420,Covington,(251) 653-0600,http://www.adem.state.al.us/newsEvents/notices/oct14/pdfs/10little.pdf,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-12:00PM,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,31.71627997,-86.26376169
C&D Landfill,Lockhart Construction And Demolition Landfill,Government,Chickasaw Avenue,Lockhart,AL,36442,Covington,(334) 585-6255,,No,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,6:00-11:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.34626766,-86.29410566
C&D Landfill,Crenshaw County Construction And Demolition Landfill,Government,P.O. Box 227,Luverne,AL,36049,Crenshaw,(334) 335-6568,,No,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.33238735,-85.5214837
Municipal Landfill,Cullman Environmental Waste Management Center,Private,2805 Alabama Highway 69 South,Cullman,AL,35057,Cullman,(205) 647-6736,http://business.cullmanchamber.org/list/member/cullman-environmental-inc-cullman-457,No,7:30AM-4:30PM,7:30AM-4:30PM,7:30AM-4:30PM,7:30AM-4:30PM,7:30AM-4:30PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,34.80716804,-87.71448637
C&D Landfill,Dale County C&D Landfill,Government,202 Alabama 123,Ozark,AL,36360,Dale,(334) 774-5875,http://www.dalecountyal.org/SolidWaste.aspx,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,32.41636292,-86.97853901
Transfer Station,Dale County Transfer Station,Government,5 Mi S of Ozark on County Road 30,Ozark,AL,36361,Dale,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Rose Hill Landfill Llc,Private,242 New Hope Rd,Midland City,AL,36350,Dale,(334) 983-6576,http://www.rosehill-landfill.com/,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,34.44039048,-85.738623
C&D Landfill,City Of Selma C&D Landfill,Government,4555 Water Avenue,Selma,AL,36703,Dallas,(800) 321-8128,https://www.republicservices.com/customer-support/facilities?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=F41,No,5:30AM-4:00PM,5:30AM-4:00PM,5:30AM-4:00PM,5:30AM-4:00PM,5:30AM-4:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,32.57063263,-86.19193835
Transfer Station,Selma Transfer Station,Government,1478 Highway 41 South,Selma,AL,36701,Dallas,(256) 462-3844,http://www.hychellc.com/,No,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,0,0
C&D Landfill,Fort Payne Landfill,Government,901 Dewyer Ave (Hwy 35),Fort Payne,AL,35967,Dekalb,(334) 297-2140,,No,7:30AM-5:00PM,7:30AM-5:00PM,7:30AM-5:00PM,7:30AM-5:00PM,7:30AM-5:00PM,8:00AM-12:00PM,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,31.0183537,-87.11151411
Municipal Landfill,Sand Valley Landfill,Private,3345 County Rd 209,Collinsville,AL,35961,Dekalb,(205) 647-3200,http://www.republicservices.com/corporate/localservices/location.aspx?SID=F41,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,0,0
C&D Landfill,Wetumpka Construction/Demolition Landfill,Government,Us Highway 231,Wetumpka,AL,36092,Elmore,(256) 381-9030,http://www.epa.gov/lmop/partners/profiles/shoalssolidwastedisposalauthorityal.html,No,7:30AM-4:15PM,7:30AM-4:15PM,7:30AM-4:15PM,7:30AM-4:15PM,7:30AM-4:15PM,8:00AM-11:00PM,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,31.10568824,-87.48733178
C&D Landfill,Atmore Inert Landfill,Government,Poarch Road / County Road 14,Atmore,AL,36504,Escambia,(251) 368-2253,,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.61560769,-87.60748765
C&D Landfill,Jay Road Inert Landfill,Government,4681 Jay Road,Brewton,AL,36426,Escambia,(251) 867-8148,http://www.cityofbrewton.org/department_details.cfm?DeptID=5,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.98352225,-85.94864958
Municipal Landfill,Timberlands Landfill,Government,22800 Highway 41,Brewton,AL,36426,Escambia,(334) 671-8844,http://www.cityofbrewton.org/public-works.aspx,No,7:00AM-3:45PM,7:00AM-3:45PM,7:00AM-3:45PM,7:00AM-3:45PM,7:00AM-3:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,32.42083061,-86.43097832
C&D Landfill,Gadsden Construction/Demolition Landfill,Government,110 Burnsway Drive,Gadsden,AL,35903,Etowah,(205) 553-0529,http://www.cityofgadsden.com/index.aspx?NID=170,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,34.42611487,-88.12445686
Transfer Station,Gadsden Transfer Station,Government,110 Burns Way Drive,Gadsden,AL,35902,Etowah,(205) 655-3391,,No,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-12:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,North River Mine Landfill,Private,3114 Alabama Highway 63,Berry,AL,35546,Fayette,(256) 447-1881,http://walterenergy.com/contact.html,No,5:00AM-4:30PM,5:00AM-4:30PM,5:00AM-4:30PM,5:00AM-4:30PM,5:00AM-4:30PM,5:00AM-12:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08112881,-85.94697081
C&D Landfill,Red Bay Landfill,Government,Old Vina Road,Red Bay,AL,35582,Franklin,(205) 367-8912,,No,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,7:00AM-2:45PM,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.10221173,-85.69760071
C&D Landfill,Geneva County Landfill,Government,State Hwy 52,Geneva,AL,36340,Geneva,(334) 576-2059,http://www.genevacounty.us/aboutGenevaCounty/countyGovernment/solidwaste.aspx,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-12:00PM,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,32.84265106,-87.85977844
C&D Landfill,Hartford Landfill,Government,203 West Main Street,Hartford,AL,36344,Geneva,(866) 909-4458,,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.68335493,-85.28810588
C&D Landfill,Greene County Inert C&D Landfill,Government,Finches Ferry Road,Eutaw,AL,35462,Greene,(251) 867-8921,,No,6:00AM-3:30PM,6:00AM-3:30PM,6:00AM-3:30PM,6:00AM-3:30PM,6:00AM-3:30PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25033827,-85.39898323
C&D Landfill,Henry County C/D Landfill No. 2,Government,"101 Court Square,Suite A",Abbeville,AL,36310,Henry,(251) 866-7787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23260345,-85.11047896
Municipal Landfill,City Of Dothan Sanitary Landfill,Government,1290 Burkett Rd,Dothan,AL,36303,Houston,(205) 338-7821,http://www.dothan.org/index.aspx?nid=317,No,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,5:00AM-4:00PM,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,34.0273888,-86.90210457
C&D Landfill,Farley Nuclear Plant Landfill,Private,County Road 95,Columbia,AL,36319,Houston,(334) 427-1608,http://www.southerncompany.com/about-us/our-business/southern-nuclear/farley.cshtml,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88216011,-85.77456475
C&D Landfill,Huges C/D Landfill,Private,674 Twitchell Road,Dothan,AL,36303,Houston,(251) 575-2689,,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,31.25772341,-85.62082423
C&D Landfill,Southeast Alabama Construction/Demolition Landfill,Private,Lee Boy Road,Dothan,AL,36303,Houston,(334) 692-3957,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,34.75244649,-85.91692538
C&D Landfill,Bolivar Landfill,Private,2283 County Road 96,Stevenson,AL,35772,Jackson,(256) 437-2880,http://www.bolivarlandfill.com/page10.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90775407,-85.74606376
C&D Landfill,Scottsboro C&D Landfill,Government,650 County Rd 412,Hollywood,AL,35752,Jackson,(256) 259-5548,http://www.cityofscottsboro.com/index.php?option=com_content&view=article&id=88&Itemid=168,,,,,,,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,33.59881096,-86.77688629
Municipal Landfill,Scottsboro Landfill,Government,650 County Rd 412,Hollywood,AL,35752,Jackson,(256) 574-2714,http://www.cityofscottsboro.com/index.php?option=com_content&view=article&id=88&Itemid=168,,,,,,,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,33.60580561,-86.51707822
C&D Landfill,Tva Widows Creek Fossil Plant Landfill,Government,2800 Steam Plant Road,Stevenson,AL,35772,Jackson,(256) 437-4441,http://www.tva.com/environment/reports/widows_creek_soil_excavation/WCF%20Final%20Soil%20Excavation%20EA.pdf,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.60244358,-86.84753029
C&D Landfill,Bessemer City - Concord Landfill,Private,1800 Thrid Avenue North,Bessemer,AL,35020,Jefferson,(205) 424-4060,,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.55224957,-87.01369019
Municipal Landfill,"Big Sky Environmental, LLC Solid Waste Facility",Private,5100 Flat Top Rd,Adamsville,AL,35005,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.70338137,-85.83874128
Transfer Station,Bradford Transfer Station,Government,Redman Hall Road,Pinson,AL,35126,Jefferson,(256) 354-5803,http://www.aglsolidwaste.com/,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
Municipal Landfill,"Eastern Area Landfill, Birmingham",Government,2787 Alton Road,Irondale,AL,35210,Jefferson,(205) 655-7797,https://plus.google.com/102599773319340854907/about?hl=en,No,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,7:30AM-3:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17438579,-86.68793781
C&D Landfill,Fultondale Waste Complex,Private,3111 Five Mile Creek,Fultondale,AL,35068,Jefferson,(205) 759-8112,http://www1.wmsolutions.com/facilities/details/id/112,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.56967565,-86.847139
Municipal Landfill,Jefferson County Landfill No. 1,Government,101 Mary Buckelew Pkwy,Gardendale,AL,35071,Jefferson,(256) 409-2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.44680029,-87.77276917
